,Salary,Adjusted Salary
"('New York', 'Damyean Dotson')",205662,224294
"('New York', 'Matt Mooney')",171156,186662
"('New York', 'Danuel House')",111457,121554
"('New York', 'Feron Hunt')",63811,69592
"('New York', 'Tyler Hall')",53176,57993
"('Orlando', 'Gary Harris')",20932143,22828544
"('Orlando', 'Jonathan Isaac')",17400000,18976397
"('Orlando', 'Markelle Fultz')",16500000,17994860
"('Orlando', 'Terrence Ross')",12500000,13632469
"('Orlando', 'Mo Bamba')",7568743,8254452
"('Orlando', 'Wendell Carter')",6920027,7546964
"('Orlando', 'Jalen Suggs')",6592920,7190222
"('Orlando', 'Timofey Mozgov')",5573333,6078263
"('Orlando', 'Franz Wagner')",5007840,5461538
"('Orlando', 'Robin Lopez')",5000000,5452987
"('Orlando', 'Cole Anthony')",3449400,3761907
"('Orlando', 'Michael Carter-Williams')",3300000,3598972
"('Orlando', 'Chuma Okeke')",3277080,3573975
"('Orlando', ""E'Twaun Moore"")",2641691,2881021
"('Orlando', 'RJ Hampton')",2303040,2511689
"('Orlando', 'Bol Bol')",2161152,2356947
"('Orlando', 'PJ Dozier')",1910860,2083979
"('Orlando', 'Moritz Wagner')",1729217,1885879
"('Orlando', 'Ignas Brazdeikis')",462629,504542
"('Orlando', 'Admiral Schofield')",423741,462130
"('Orlando', 'Tim Frazier')",257418,280739
"('Orlando', 'Mychal Mulder')",210044,229073
"('Orlando', 'Devin Cannady')",185578,202390
"('Orlando', 'Freddie Gillespie')",171156,186662
"('Orlando', 'Hassani Gravett')",106352,115987
"('Orlando', 'BJ Johnson')",95930,104621
"('Orlando', 'Jeff Dowtin')",53176,57993
"('Orlando', 'Aleem Ford')",53176,57993
"('Philadelphia', 'James Harden')",44310840,48325294
"('Philadelphia', 'Tobias Harris')",35995950,39257095
"('Philadelphia', 'Joel Embiid')",31579390,34440406
"('Philadelphia', 'Danny Green')",10000000,10905975
"('Philadelphia', 'Furkan Korkmaz')",4629630,5049063
"('Philadelphia', 'Georges Niang')",3300000,3598972
"('Philadelphia', 'Matisse Thybulle')",2840160,3097471
"('Philadelphia', 'Paul Millsap')",2641691,2881021
"('Philadelphia', 'Tyrese Maxey')",2602920,2838738
"('Philadelphia', 'Jaden Springer')",2023680,2207020
"('Philadelphia', 'Shake Milton')",1846738,2014047
"('Philadelphia', 'Isaiah Joe')",1517981,1655506
"('Philadelphia', 'Paul Reed')",1517981,1655506
"('Philadelphia', 'George Hill')",1275491,1391047
"('Philadelphia', 'Charles Bassey')",925258,1009084
"('Philadelphia', 'DeAndre Jordan')",592103,645746
"('Philadelphia', 'Charlie Brown')",335221,365591
"('Philadelphia', 'Myles Powell')",300443,327662
"('Philadelphia', 'Aaron Henry')",223338,243571
"('Philadelphia', 'Grant Riller')",162186,176879
